library,execution time,benchmark
openmp-directives,1.05458330508914,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05105814375968,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04947831374314,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05017959067936,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05053106247099,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04960810936862,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05623339918885,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05249480561673,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05045240611608,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05331327614701,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05168403708476,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05205422800198,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05323786074696,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07007910806016,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05092343599102,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05088566925446,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05002735359853,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05181386298539,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05130789255918,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05319430388785,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07491656092818,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05346481084434,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05256940812898,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05408151414747,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05251405607121,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05077498935904,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05114268711761,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06797761297937,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05091876302153,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04967996895223,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05282294132231,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04976510873063,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05037659411156,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05305983377913,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07018413104368,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05198370658002,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05124940248206,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05121548674464,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05164725883186,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05062997592913,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04998713154725,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06520220969847,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05670537970352,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05071481901107,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05066541147911,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04972157609164,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05113997446412,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05026562508846,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05121862022273,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05768643536108,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05087256919681,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05506814043274,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05050737670695,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.054931054551,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06616109183577,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05144224005354,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07067800049222,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05190236784677,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06111034599078,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05315798278973,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05116745975956,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0563219267566,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04965548997924,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05715507316611,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04869297936516,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04992630271475,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05368211679252,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0540832095559,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05465299848573,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05155554026324,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0720864262301,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05442830842834,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05244001062174,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05541053422048,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05433434344354,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05347779585642,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0564741078284,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06838481829567,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05166504548281,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05304842307489,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04854085127487,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05014506187014,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05386200870961,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05234636352602,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05176806425138,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06814029498714,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05101368470108,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05140534826883,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05336870237889,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05671706288412,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05522404837558,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0515769478222,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0581242125244,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05562882562477,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05158291959566,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05013496813495,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05372365429909,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0495242002751,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0526226908802,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06922219414369,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05114264624616,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05186712908528,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05308030280843,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0514389627685,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05054040386867,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0504632794364,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06319042140254,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0493462565639,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05122976147814,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05559349906536,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05609026281827,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0510385224346,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05356134164814,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06024540613191,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05440928352372,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05057641918779,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05316724698582,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05447851976555,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05266644150027,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0533984340905,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07160331505634,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05430918327968,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05625502321515,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05624090893993,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05210518864915,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0519548558753,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05465926392814,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05634526738392,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07291387637003,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05620636802067,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05442122858437,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05492203861118,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05140523473702,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05131565359405,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05273552333881,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07082691790278,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05572996884778,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05282196040743,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05124234685823,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05030566246132,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04880641429927,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0486078305042,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06322807460731,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05105463032844,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0502224406137,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0513934698135,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05082454523922,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05406176566676,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05324035844687,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07109767614303,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05002488314624,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04953105456917,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05078971065101,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05090933533964,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04808751571167,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05226868657223,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06502198172719,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.052751691783,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0508975295447,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05053987102604,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05261720350916,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05187446172675,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05356800520879,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06767968884653,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05819688650957,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05438663316984,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05142706463431,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05286117580996,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05147347644015,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04814016722599,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05198596510624,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07498150718116,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05501988941154,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05351301645282,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05220178757204,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05118169059406,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.051504817276,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05488059798507,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06836019248819,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04964281225994,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05043818739161,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.06026773102793,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.052122001954,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05110731514548,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05007505966702,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05935864091701,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.04930410295802,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05040665733609,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0524551133806,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05205573721823,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0519688369398,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05569272284382,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.07376557690554,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.0527702186614,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05033038969051,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05052830591852,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
openmp-directives,1.05129926868256,BM_AddVectors/1/2/3/4/min_time:0.500/repeats:1000
